suburb,postcode,pri_breed,pri_colour,de_sexed,yrmonth
NOBLE PARK,3174,Maltese X,White & Cream,Y,2003-05
NOBLE PARK,3174,Maltese X,White & Tan,Y,2001-08
DANDENONG SOUTH,3175,Staffordshire Bull Terrier,Black & Brindle,N,2006-09
DANDENONG SOUTH,3175,German Shepherd,Tri Coloured,Y,2013-04
DANDENONG NORTH,3175,Terrier X,Tri Coloured,Y,2000-03
DANDENONG NORTH,3175,Maltese X,White & Tan,Y,2007-10
DANDENONG NORTH,3175,Cocker Spaniel,Gold & White,Y,2012-02
DANDENONG NORTH,3175,Pug,Fawn,Y,2015-09
DANDENONG NORTH,3175,Jack Russell Terrier,Tri Coloured,N,2012-03
DANDENONG NORTH,3175,Golden Retriever,Gold,Y,2006-09
DANDENONG NORTH,3175,Jack Russell Terrier,Black & White,Y,2002-11
DANDENONG NORTH,3175,Jack Russell Terrier,Tri Coloured,Y,2004-06
DANDENONG NORTH,3175,Schnauzer,Salt & Pepper,N,2011-12
DANDENONG NORTH,3175,Schnauzer,Silver & Grey,Y,2003-03
DANDENONG NORTH,3175,Jack Russell Terrier X,Tri Coloured,Y,2002-07
DANDENONG NORTH,3175,Border Collie X,Black & White,N,2007-10
DANDENONG NORTH,3175,Corgi X,Tan & White,Y,2009-03
DANDENONG NORTH,3175,Jack Russell Terrier,Tan & White,Y,2008-07
DANDENONG NORTH,3175,Golden Retriever,Tan,Y,2005-05
DANDENONG NORTH,3175,Golden Retriever,Gold,N,2011-09
DANDENONG NORTH,3175,Labrador X,Chocolate,Y,2011-05
KEYSBOROUGH,3173,Toy Poodle,Apricot,Y,2011-07
NOBLE PARK,3174,Kelpie X,Brown,Y,2011-01
NOBLE PARK,3174,Maltese X,Tan,Y,2009-12
NOBLE PARK,3174,Maltese X,Tri Coloured,Y,2008-03
NOBLE PARK,3174,Jack Russell Terrier X,Tan & White,N,2012-07
NOBLE PARK,3174,Maltese X,White & Tan,Y,2015-09
NOBLE PARK,3174,Pomeranian,Black,Y,2010-05
NOBLE PARK,3174,Kelpie X,Tan & Black,Y,2015-02
NOBLE PARK,3174,Rhodesian Ridgeback  X,Tan,Y,2011-04
DANDENONG NORTH,3175,Maltese X,Black & Tan,Y,2014-07
DANDENONG NORTH,3175,Maltese X,Tan,Y,2013-05
DANDENONG NORTH,3175,Boxer,Brindle,N,2005-08
DANDENONG NORTH,3175,Poodle X,White,Y,2012-03
DANDENONG NORTH,3175,Terrier,Brown,Y,2003-11
DANDENONG NORTH,3175,Retriever,Gold,N,2009-10
DANDENONG NORTH,3175,Staffordshire Bull Terrier,Brindle,N,2009-06
DANDENONG NORTH,3175,Fox Terrier X,Tan & White,Y,2003-12
DANDENONG NORTH,3175,Jack Russell Terrier,White & Tan,Y,2011-06
DANDENONG NORTH,3175,Jack Russell Terrier,White & Black,Y,2001-10
DANDENONG NORTH,3175,Poodle X,Black & White,Y,2010-11
DANDENONG NORTH,3175,Poodle X,Ruby,Y,2010-11
DANDENONG NORTH,3175,Terrier,Tan & White,N,2008-02
DANDENONG NORTH,3175,Rottweiler X,Tri Coloured,Y,2014-06
DANDENONG NORTH,3175,Labrador,Gold,Y,2005-07
DANDENONG NORTH,3175,Staffordshire Bull Terrier,Black & White,Y,2009-06
NOBLE PARK,3174,Cavalier King Charles Spaniel,Black & Tan,Y,2013-04
NOBLE PARK,3174,Jack Russell Terrier,Black & Brown,N,2011-11
NOBLE PARK,3174,Border Collie,Black & White,Y,2001-12
NOBLE PARK,3174,Bull Terrier X,Black & White,Y,2007-11
NOBLE PARK,3174,Poodle X,White,Y,2010-10
NOBLE PARK,3174,Belgian Shepherd,Black & Tan,N,2008-03
NOBLE PARK,3174,Staffordshire Bull Terrier X,Tan,Y,2015-06
NOBLE PARK,3174,Domestic,Black,N,2011-05
NOBLE PARK,3174,Whippet,Red & Brindle,Y,2003-05
NOBLE PARK,3174,Wolf Hound X,Tan,Y,2013-07
NOBLE PARK,3174,Fox Terrier,Black & White,Y,2007-05
NOBLE PARK,3174,German Shepherd,Black & Brown,N,2014-05
NOBLE PARK NORTH,3174,Border Collie X,Gold,Y,2012-05
NOBLE PARK NORTH,3174,Border Collie X,Black,Y,2012-08
NOBLE PARK NORTH,3174,Shih Tzu,White & Black,N,2008-07
NOBLE PARK NORTH,3174,Bull Arab X,White & Brindle,Y,2009-12
DANDENONG NORTH,3175,Labrador X,Chocolate,N,2011-07
DANDENONG NORTH,3175,Border Collie X,Black & White,Y,2002-05
DANDENONG NORTH,3175,Maltese,White,Y,2010-07
DANDENONG NORTH,3175,Maltese X,White,Y,2010-12
NOBLE PARK,3174,Maltese X,Tri Coloured,Y,2015-05
NOBLE PARK,3174,Cavalier King Charles Spaniel,Tan & White,Y,2013-06
NOBLE PARK,3174,Maltese X,Grey & White,Y,2012-10
NOBLE PARK NORTH,3174,Staffordshire Bull Terrier X,Tan & Black,Y,2009-09
NOBLE PARK NORTH,3174,English Toy Terrier,Black & Tan,Y,2007-02
KEYSBOROUGH,3173,Jack Russell Terrier,Tan & White,Y,2008-10
KEYSBOROUGH,3173,Jack Russell Terrier,Tan & White,N,2009-03
KEYSBOROUGH,3173,Bull Mastiff,Tan,Y,2012-09
KEYSBOROUGH,3173,Fox Terrier X,Brown,Y,2005-01
KEYSBOROUGH,3173,Fox Terrier X,Brown,Y,2015-01
KEYSBOROUGH,3173,Jack Russell Terrier,White & Tan,Y,2006-06
NOBLE PARK,3174,Kelpie X,Black & Tan,Y,2006-03
NOBLE PARK,3174,Bichon Frise X,White & Grey,Y,2009-05
NOBLE PARK,3174,Cairn Terrier,Brindle,Y,2004-10
NOBLE PARK,3174,West Highland Terrier,White,N,2009-07
NOBLE PARK,3174,Fox Terrier X,White & Brown,Y,2002-01
NOBLE PARK,3174,Pug,Fawn,N,2009-05
NOBLE PARK,3174,Shetland Sheepdog,Tri Coloured,N,2007-05
NOBLE PARK,3174,Shetland Sheepdog,Sable,N,2000-09
NOBLE PARK NORTH,3174,Staffordshire Bull Terrier,Blue & White,Y,2006-02
NOBLE PARK NORTH,3174,Kelpie X,Black,Y,2012-07
KEYSBOROUGH,3173,Border Collie,Black & White,Y,2012-05
NOBLE PARK NORTH,3174,Labrador X,Gold,N,2008-11
NOBLE PARK NORTH,3174,Labrador X,White,Y,2010-06
NOBLE PARK NORTH,3174,Great Dane,Fawn,Y,2011-06
SPRINGVALE,3171,Terrier,White & Tan,N,2008-08
SPRINGVALE,3171,Jack Russell Terrier,Black,Y,2007-05
SPRINGVALE,3171,Pug,Fawn,Y,2010-08
SPRINGVALE,3171,Bull Mastiff,Tan & White,Y,2007-11
SPRINGVALE,3171,Staffordshire Bull Terrier X,Black & Brown,N,2014-08
SPRINGVALE,3171,Scotch Terrier,Brindle,N,2007-08
KEYSBOROUGH,3173,Rottweiler,Black & Tan,N,2009-04
KEYSBOROUGH,3173,Rottweiler,Black & Tan,N,2010-12
KEYSBOROUGH,3173,Corgi X,White & Tan,Y,2009-12
KEYSBOROUGH,3173,Poodle X,Tan & White,Y,2011-12
DANDENONG,3175,German Shepherd,Black,N,2009-12
DANDENONG,3175,Cavoodle,Gold,Y,2012-04
DANDENONG,3175,Kelpie,Brown & Tan,Y,2008-02
SPRINGVALE SOUTH,3172,Jack Russell Terrier,Brown & White,Y,2008-10
SPRINGVALE SOUTH,3172,Beagle,Lemon & White,N,2012-02
SPRINGVALE SOUTH,3172,King Charles Spaniel,Brown & White,Y,2006-04
SPRINGVALE SOUTH,3172,Labrador,Black,Y,2014-08
SPRINGVALE SOUTH,3172,Maltese X,White,N,2006-04
SPRINGVALE SOUTH,3172,Maltese X,Unknown,Y,2000-08
NOBLE PARK,3174,Jack Russell Terrier X,Tan & Black,Y,1999-05
NOBLE PARK,3174,Chihuahua,Black & White,Y,2003-07
NOBLE PARK,3174,Chihuahua,Black & White,Y,2005-05
NOBLE PARK,3174,Maltese X,White,Y,2006-04
NOBLE PARK,3174,Maltese X,Sable,Y,2007-09
NOBLE PARK,3174,Jack Russell Terrier X,White & Tan,Y,2011-01
NOBLE PARK,3174,Bull Terrier,White,Y,2012-11
NOBLE PARK,3174,Maltese X,White & Tan,Y,2008-06
NOBLE PARK,3174,West Highland Terrier X,White & Tan,Y,2004-05
NOBLE PARK,3174,Maltese X,White,Y,2005-12
DANDENONG,3175,Golden Retriever,Yellow,N,2007-03
DANDENONG,3175,Staffordshire Bull Terrier,Brindle & White,Y,2012-12
DANDENONG,3175,Kelpie X,Black & White,Y,2014-09
DANDENONG,3175,Labrador,Chocolate,Y,2008-11
DANDENONG,3175,Staffordshire Bull Terrier,Black & Brindle,Y,2003-06
DANDENONG,3175,Tibetan Spaniel X,Sand,N,2008-05
DANDENONG,3175,Pomeranian X,Black & White,N,2007-01
DANDENONG,3175,Pomeranian,Cream & White,N,2007-02
DANDENONG,3175,Labrador,Gold,Y,2008-04
DANDENONG,3175,English Staffordshire Bull Terrier X,White & Brindle,Y,2012-02
DANDENONG,3175,Chihuahua,Tan & White,N,2014-08
DANDENONG,3175,Collie,Tri Coloured,Y,2005-05
DANDENONG,3175,Pomeranian,Tan,Y,2003-04
DANDENONG,3175,Blue Heeler,Blue,N,2010-02
DANDENONG,3175,Blue Heeler,Blue,Y,2010-02
DANDENONG,3175,Jack Russell Terrier,Tri Coloured,N,2006-02
NOBLE PARK,3174,Jack Russell Terrier,Tan & White,Y,2006-04
NOBLE PARK,3174,Staffordshire Bull Terrier X,Tan,Y,2005-09
NOBLE PARK,3174,Staffordshire Bull Terrier,Black & Brindle,Y,2003-10
NOBLE PARK,3174,Staffordshire Bull Terrier,White & Black,Y,2005-10
NOBLE PARK,3174,Poodle X,Apricot,Y,2013-09
NOBLE PARK,3174,English Staffordshire Bull Terrier,Red,N,2007-12
NOBLE PARK,3174,English Staffordshire Bull Terrier,Red,N,2007-12
NOBLE PARK,3174,Siberian Husky,Black & White,N,2009-12
NOBLE PARK,3174,Poodle X,Apricot,Y,2015-02
NOBLE PARK,3174,Maltese X,Tri Coloured,N,2009-01
NOBLE PARK,3174,Cavalier King Charles Spaniel,Tri Coloured,Y,2008-03
NOBLE PARK,3174,Cavalier King Charles Spaniel X,Blenheim,Y,2010-05
NOBLE PARK,3174,Cavalier King Charles Spaniel,Blenheim,Y,2016-01
NOBLE PARK,3174,Jack Russell Terrier X,Gold & White,Y,2006-12
NOBLE PARK,3174,Rottweiler,Black & Tan,N,2014-07
NOBLE PARK,3174,Pomeranian,Gold,N,2006-10
NOBLE PARK,3174,Maltese X,White,Y,2008-05
DANDENONG,3175,Cavalier King Charles Spaniel,Blenheim,Y,2013-03
DANDENONG,3175,Poodle X,Beige,Y,2013-01
DANDENONG,3175,Terrier X,Tan,N,2008-06
KEYSBOROUGH,3173,Jack Russell Terrier,Tan & White,Y,2001-08
KEYSBOROUGH,3173,Labrador,Gold,N,2012-08
KEYSBOROUGH,3173,Labrador,Gold,N,2014-11
KEYSBOROUGH,3173,Labrador,Gold,Y,2009-12
KEYSBOROUGH,3173,English Staffordshire Bull Terrier,White & Black,N,2006-01
KEYSBOROUGH,3173,Havanese,Black & White,Y,2014-01
KEYSBOROUGH,3173,Border Collie,Tri Coloured,N,2010-06
KEYSBOROUGH,3173,Alaskan Malamute,Tri Coloured,Y,2005-05
KEYSBOROUGH,3173,Labrador,Gold,N,2009-09
KEYSBOROUGH,3173,Jack Russell Terrier,Brown & White,Y,2009-08
NOBLE PARK,3174,American Bull Dog,White & Tan,N,2008-12
NOBLE PARK,3174,Bichon Frise X,White,Y,2015-05
NOBLE PARK,3174,Labrador X,Black & White,Y,2007-12
NOBLE PARK,3174,Alaskan Malamute,Apricot & White,Y,2007-12
KEYSBOROUGH,3173,Miniature Poodle,Black,Y,2011-02
KEYSBOROUGH,3173,Poodle X,Chocolate,Y,2012-10
SPRINGVALE,3171,Jack Russell Terrier X,Tan & White,N,2008-10
SPRINGVALE,3171,Spaniel X,Gold,Y,2014-10
NOBLE PARK,3174,Jack Russell Terrier X,Brown & White,N,2012-10
NOBLE PARK,3174,Staffordshire Bull Terrier X,Tri Coloured,Y,2013-11
NOBLE PARK,3174,Labrador X,Gold,Y,2009-05
NOBLE PARK,3174,Golden Retriever,Gold,Y,2005-03
NOBLE PARK,3174,Beagle X,Tri Coloured,Y,2014-01
NOBLE PARK,3174,Jack Russell Terrier,White & Tan,Y,2009-03
NOBLE PARK,3174,Maltese,White,Y,2006-04
NOBLE PARK,3174,Pomeranian X,Tan,Y,2003-07
NOBLE PARK NORTH,3174,Pomeranian,Tri Coloured,Y,2009-03
NOBLE PARK NORTH,3174,Pomeranian,Gold,N,2010-03
NOBLE PARK NORTH,3174,Pug X,Tan & Black,N,2010-03
NOBLE PARK NORTH,3174,Maltese X,White,Y,1999-04
NOBLE PARK NORTH,3174,Maltese X,White & Brown,Y,2003-04
DANDENONG,3175,Chihuahua X,Brown & Black,Y,2006-12
DANDENONG,3175,Chihuahua X,White & Brown,N,2006-12
DANDENONG,3175,Bull Mastiff X,Black & White,N,2005-12
DANDENONG,3175,Siberian Husky,Black & White,Y,2003-10
DANDENONG,3175,Wolf Hound X,White & Tan,Y,2003-04
DANDENONG,3175,Doberman Pinscher,Black & Tan,Y,2003-12
DANDENONG,3175,German Shepherd,White,N,2012-11
DANDENONG,3175,Fox Terrier,White,Y,2013-07
DANDENONG,3175,Chihuahua X,Brown & Black,Y,2003-04
SPRINGVALE SOUTH,3172,Alaskan Malamute,Black & White,Y,2014-07
SPRINGVALE SOUTH,3172,Jack Russell Terrier,White & Tan,Y,2011-05
SPRINGVALE SOUTH,3172,Sheltie X,Tri Coloured,N,2011-12
SPRINGVALE SOUTH,3172,Maltese X,Cream,Y,2005-05
SPRINGVALE SOUTH,3172,Pomeranian,Fawn,Y,2007-12
SPRINGVALE SOUTH,3172,Maltese,White,Y,2013-12
SPRINGVALE SOUTH,3172,Maltese,White,Y,2004-03
DANDENONG SOUTH,3175,Staffordshire Bull Terrier,Black & Brindle,N,2006-12
NOBLE PARK,3174,Red Heeler,Red,Y,2002-05
NOBLE PARK,3174,Labrador,White & Brown,N,2011-05
NOBLE PARK,3174,Labrador,Chocolate,Y,2011-10
NOBLE PARK,3174,Jack Russell Terrier,Tri Coloured,Y,2007-07
NOBLE PARK,3174,Maltese X,White,N,2004-04
NOBLE PARK,3174,Jack Russell Terrier X,White,Y,2014-04
NOBLE PARK,3174,Labrador X,Gold,Y,2002-01
NOBLE PARK,3174,Italian Greyhound,Fawn & White,Y,2014-02
NOBLE PARK,3174,Maltese X,White,Y,2004-01
NOBLE PARK,3174,Staffordshire Bull Terrier X,Grey,N,2008-11
NOBLE PARK,3174,Jack Russell Terrier,Cream,Y,2015-07
NOBLE PARK,3174,Maltese X,White & Tan,Y,2009-09
NOBLE PARK,3174,Labrador,Gold,N,2007-02
NOBLE PARK,3174,Maltese X,White,Y,2006-07
NOBLE PARK,3174,Jack Russell Terrier X,Tan,Y,2007-06
NOBLE PARK,3174,Jack Russell Terrier,Tri Coloured,Y,2003-07
NOBLE PARK,3174,Shih Tzu X,Black,Y,2006-04
SPRINGVALE SOUTH,3172,Chihuahua,Brindle,N,2012-04
SPRINGVALE SOUTH,3172,Kelpie X,Black & White,Y,2003-03
SPRINGVALE SOUTH,3172,Alaskan Malamute,Grey,N,2013-03
SPRINGVALE SOUTH,3172,Shih Tzu X,White,N,2004-04
SPRINGVALE SOUTH,3172,Pekinese X,White & Brown,N,2005-02
SPRINGVALE SOUTH,3172,Jack Russell Terrier,Black & White,Y,2003-06
SPRINGVALE SOUTH,3172,Whippet X,Dark Brown,Y,2004-10
SPRINGVALE SOUTH,3172,Poodle,Gold,Y,2000-10
SPRINGVALE SOUTH,3172,Newfoundland,Brown & White,Y,2013-12
SPRINGVALE,3171,Maltese,White,N,2007-08
SPRINGVALE,3171,German Shepherd,Black & Tan,N,2005-03
SPRINGVALE,3171,Cocker Spaniel,Brown,Y,2011-10
SPRINGVALE,3171,Fox Terrier X,White & Brown,N,2008-03
SPRINGVALE,3171,Pomeranian,Red & Brown,Y,2000-08
SPRINGVALE,3171,Jack Russell Terrier,White & Brown,N,2006-03
SPRINGVALE,3171,Pomeranian X,Brown,Y,2005-08
SPRINGVALE,3171,Jack Russell Terrier,White & Tan,Y,2004-10
SPRINGVALE,3171,Kelpie,Black & Tan,Y,2011-05
KEYSBOROUGH,3173,Chihuahua,Blue & Fawn,Y,2010-11
KEYSBOROUGH,3173,Kelpie X,Black,Y,2010-12
KEYSBOROUGH,3173,Siberian Husky,Silver & Black,Y,2008-12
SPRINGVALE SOUTH,3172,Jack Russell Terrier,Tan & White,Y,2008-05
SPRINGVALE SOUTH,3172,Jack Russell Terrier,White & Black,Y,2014-09
SPRINGVALE,3171,Maltese X,White & Tan,Y,2004-03
SPRINGVALE,3171,Pomeranian,Cream,Y,2011-03
DANDENONG NORTH,3175,Jack Russell Terrier,Tan & White,Y,2006-10
SPRINGVALE,3171,Jack Russell Terrier X,Tri Coloured,Y,2008-09
SPRINGVALE,3171,Fox Terrier X,Tri Coloured,Y,2005-05
SPRINGVALE,3171,Fox Hound,Tri Coloured,Y,2001-04
DANDENONG,3175,Maltese X,Cream,Y,2002-02
DANDENONG,3175,German Shepherd,Black & Tan,N,2011-03
DANDENONG,3175,Staffordshire Bull Terrier,White,N,2001-12
DANDENONG,3175,Cairn Terrier,Black,Y,2009-12
DANDENONG,3175,King Charles Spaniel,Tri Coloured,Y,2015-03
DANDENONG,3175,Jack Russell Terrier,Black & White,Y,2012-02
DANDENONG,3175,Australian Cattle Dog,Blue,N,2009-08
DANDENONG,3175,Blue Heeler,Grey,N,2006-02
DANDENONG,3175,Maltese,White,Y,2008-04
DANDENONG,3175,King Charles Spaniel,Tri Coloured,Y,2006-09
DANDENONG,3175,Heeler,Red & White,Y,2003-04
DANDENONG,3175,Poodle X,White,Y,2007-05
DANDENONG,3175,Jack Russell Terrier,Tan,Y,2012-11
DANDENONG,3175,English Staffordshire Bull Terrier,Blue,N,2011-11
DANDENONG,3175,German Shepherd,Black & Tan,N,2014-10
DANDENONG,3175,German Shepherd,Black & Tan,N,2012-08
DANDENONG,3175,Doberman Pinscher,Black & Tan,N,2006-08
DANDENONG NORTH,3175,Labrador X,Brown & Grey,Y,2002-02
DANDENONG NORTH,3175,Pug X,Black & Brown,Y,2012-02
DANDENONG NORTH,3175,Kelpie X,Black,Y,2003-08
DANDENONG NORTH,3175,Labrador,Black,Y,2014-06
KEYSBOROUGH,3173,Pug,Fawn,Y,2010-06
DANDENONG NORTH,3175,Pug,Black,Y,2011-10
DANDENONG NORTH,3175,Staffordshire Bull Terrier X,Brown,Y,2000-04
DANDENONG NORTH,3175,Kelpie X,Black & Brown,Y,2006-06
DANDENONG NORTH,3175,Rottweiler X,Tri Coloured,N,2011-05
DANDENONG NORTH,3175,Maltese X,White,Y,2009-05
DANDENONG NORTH,3175,Pomeranian,Red,Y,2002-12
DANDENONG NORTH,3175,Dalmatian,White & Liver,Y,2005-07
DANDENONG NORTH,3175,American Bull Dog,White & Tan,N,2009-10
DANDENONG NORTH,3175,German Shepherd,Brown & Black,N,2008-09
DANDENONG NORTH,3175,Kelpie,Fawn,Y,2011-04
DANDENONG NORTH,3175,Poodle X,Cream,N,2011-06
DANDENONG NORTH,3175,Greyhound,Tan,Y,2003-09
DANDENONG NORTH,3175,Maltese X,Tri Coloured,N,2008-08
DANDENONG NORTH,3175,Maltese X,White & Cream,N,2008-06
DANDENONG NORTH,3175,Maltese,White,N,2003-04
DANDENONG NORTH,3175,Pomeranian X,Black,N,2011-02
DANDENONG NORTH,3175,Dalmatian,Liver & White,Y,2014-05
DANDENONG NORTH,3175,Samoyed,White,N,2014-06
DANDENONG NORTH,3175,Jack Russell Terrier,Black & White,Y,2005-02
DANDENONG NORTH,3175,Staffordshire Bull Terrier,Red,Y,2004-11
DANDENONG NORTH,3175,Japanese Spitz,White,N,2014-12
DANDENONG NORTH,3175,Maltese X,White,Y,2006-01
DANDENONG NORTH,3175,German Shepherd,Black & Tan,N,2011-04
KEYSBOROUGH,3173,Toy Poodle X,Unknown,Y,2014-06
KEYSBOROUGH,3173,German Shepherd,Black & Tan,N,2012-11
KEYSBOROUGH,3173,English Staffordshire Bull Terrier,White,N,2010-03
KEYSBOROUGH,3173,Siberian Husky,Black & White,N,2013-04
KEYSBOROUGH,3173,Siberian Husky,Red & White,N,2013-08
NOBLE PARK,3174,Shih Tzu X,Tri Coloured,Y,2005-12
NOBLE PARK,3174,Jack Russell Terrier X,Black & White,Y,2010-10
NOBLE PARK,3174,Jack Russell Terrier X,Tan & White,Y,2005-03
NOBLE PARK,3174,Chihuahua X,Tan & Black,Y,2002-04
NOBLE PARK,3174,Jack Russell Terrier X,Black & White,Y,2007-01
NOBLE PARK,3174,Maltese X,Tri Coloured,Y,2009-09
NOBLE PARK,3174,Fox Terrier,Tan & White,Y,2008-06
NOBLE PARK,3174,Maltese X,White & Grey,Y,2004-11
NOBLE PARK,3174,Maltese X,White & Grey,Y,2007-11
NOBLE PARK,3174,Jack Russell Terrier,White & Tan,Y,2006-08
NOBLE PARK,3174,Jack Russell Terrier,Tri Coloured,N,2015-04
NOBLE PARK,3174,Fox Terrier,Tan & White,N,2005-12
NOBLE PARK,3174,Staffordshire Bull Terrier X,Tan,N,2009-12
NOBLE PARK,3174,Pomeranian X,Tan,Y,2009-02
NOBLE PARK,3174,Curly Coated Retriever,Black,N,2011-04
NOBLE PARK,3174,American Bull Dog X,Black,Y,2013-04
NOBLE PARK,3174,Pomeranian,Brown,Y,2004-08
NOBLE PARK,3174,Pomeranian,Brown,Y,2004-08
NOBLE PARK,3174,French Bull Dog,Brindle,Y,2012-06
NOBLE PARK,3174,Chihuahua,Tri Coloured,Y,2010-12
NOBLE PARK,3174,Chihuahua,Brown & White,Y,2011-07
NOBLE PARK,3174,Chihuahua,White,N,2012-07
NOBLE PARK,3174,Toy Poodle,Black,N,2012-11
NOBLE PARK,3174,Labrador X,Black,Y,2006-09
NOBLE PARK,3174,Maltese X,White & Tan,Y,2004-04
NOBLE PARK,3174,Maltese X,White,Y,2007-07
NOBLE PARK,3174,Papillon X,White & Brown,Y,2006-05
NOBLE PARK,3174,Maltese X,White,Y,2007-11
NOBLE PARK,3174,Poodle,Black,Y,2008-03
NOBLE PARK,3174,Maltese X,Black & Grey,Y,2007-02
NOBLE PARK,3174,Whippet X,Fawn,N,2005-02
NOBLE PARK,3174,Maltese X,Tri Coloured,Y,2003-08
NOBLE PARK,3174,Beagle,Tri Coloured,Y,2007-11
NOBLE PARK,3174,Maltese X,White,Y,2005-04
NOBLE PARK,3174,Pomeranian,Cream,Y,2002-06
NOBLE PARK,3174,German Shepherd,Black & Tan,N,2012-03
NOBLE PARK,3174,Labrador X,White,Y,2007-03
NOBLE PARK,3174,Cavoodle,Tri Coloured,Y,2012-11
NOBLE PARK,3174,Cavoodle,Black,Y,2012-11
NOBLE PARK,3174,Maltese X,Grey & White,Y,2007-03
NOBLE PARK,3174,Maltese X,White,Y,2008-07
NOBLE PARK,3174,American Staffordshire Bull Terrier X,Tan & White,Y,2011-06
NOBLE PARK,3174,Siberian Husky X,Gold,Y,2008-10
NOBLE PARK,3174,Beagle X,White & Brindle,Y,2009-11
NOBLE PARK NORTH,3174,Lhasa Apso,Fawn,N,2004-02
NOBLE PARK NORTH,3174,Tibetan Terrier,Tri Coloured,N,2009-01
NOBLE PARK NORTH,3174,Labrador,Gold,Y,2010-06
NOBLE PARK NORTH,3174,Golden Retriever,Cream,Y,2009-07
NOBLE PARK,3174,Kelpie X,Tan & White,Y,1999-11
NOBLE PARK,3174,Shih Tzu,Grey & Black,Y,2009-04
NOBLE PARK,3174,Jack Russell Terrier X,White & Black,Y,2006-11
NOBLE PARK,3174,German Shepherd X,Black & Beige,Y,2011-12
NOBLE PARK,3174,Shih Tzu,Fawn & Black,N,2009-02
NOBLE PARK,3174,Domestic,Cream,Y,2010-11
NOBLE PARK,3174,Cross Breed,Black,Y,1999-11
NOBLE PARK,3174,Shih Tzu X,Tan & White,N,2010-10
NOBLE PARK,3174,Beagle,White,Y,2009-04
NOBLE PARK,3174,Border Collie X,Black & White,Y,2004-04
NOBLE PARK,3174,Labrador X,Beige,Y,2006-06
NOBLE PARK,3174,Rottweiler X,Black & Tan,Y,2003-03
NOBLE PARK,3174,Jack Russell Terrier,White & Tan,Y,2008-08
SPRINGVALE,3171,Pomeranian,Brown,N,2013-05
SPRINGVALE,3171,Pomeranian X,White,Y,2013-03
SPRINGVALE,3171,Maltese X,White,Y,2012-04
SPRINGVALE,3171,Miniature Pinscher,Black & Tan,N,2006-04
SPRINGVALE,3171,Papillon,Sable,N,2012-07
SPRINGVALE,3171,Papillon,Tri Coloured,N,2010-06
SPRINGVALE,3171,Chihuahua,Black & White,Y,2007-06
DANDENONG NORTH,3175,Maltese X,White & Brown,N,1997-10
DANDENONG NORTH,3175,Maltese X,Brown,Y,2002-06
DANDENONG NORTH,3175,Golden Retriever,Gold,Y,2005-11
DANDENONG NORTH,3175,Golden Retriever,Gold,N,2008-02
DANDENONG NORTH,3175,Great Dane X,Black,Y,2010-07
DANDENONG NORTH,3175,Great Dane X,Black,Y,2011-08
DANDENONG NORTH,3175,Labrador,Chocolate,Y,2011-02
DANDENONG NORTH,3175,German Short Haired Pointer,Black & White,Y,2004-01
DANDENONG,3175,Labrador,Black,Y,2007-04
DANDENONG,3175,Pomeranian X,Tan,Y,2004-05
NOBLE PARK,3174,Staffordshire Bull Terrier,Brindle & White,N,2009-05
NOBLE PARK,3174,Maltese X,Silver,Y,2005-05
NOBLE PARK,3174,Maltese X,Silver,Y,2005-05
NOBLE PARK,3174,Labrador,White,Y,2011-01
NOBLE PARK,3174,German Shepherd,Black,N,2012-08
NOBLE PARK,3174,German Shepherd,Tan & Black,N,2015-08
NOBLE PARK,3174,Maltese,Tan,N,2005-03
NOBLE PARK,3174,Bichon Frise X,White,Y,2013-06
NOBLE PARK,3174,Staffordshire Bull Terrier X,Brindle,Y,2011-09
NOBLE PARK,3174,Cocker Spaniel,Gold,Y,2004-04
NOBLE PARK,3174,Boxer,Brindle,Y,2010-08
NOBLE PARK,3174,German Shepherd,Black & Tan,N,2009-04
NOBLE PARK,3174,Boxer,Brown,N,2012-08
NOBLE PARK,3174,Pomeranian X,Unknown,N,2000-01
NOBLE PARK,3174,Border Collie X,Black & White,Y,2008-03
NOBLE PARK,3174,Corgi X,Black,N,2006-07
NOBLE PARK,3174,Maltese X,Black & White,Y,2011-06
SPRINGVALE SOUTH,3172,Staffordshire Bull Terrier X,White,N,2002-04
SPRINGVALE SOUTH,3172,Beagle,Tri Coloured,Y,2012-10
SPRINGVALE SOUTH,3172,American Staffordshire Bull Terrier,Blue & White,N,2014-02
NOBLE PARK,3174,Chihuahua X,Black,N,2011-09
NOBLE PARK,3174,Chihuahua X,Tan,N,2012-02
NOBLE PARK,3174,Pomeranian X,Black,N,2010-06
NOBLE PARK,3174,Pomeranian X,Ginger,Y,2008-04
NOBLE PARK,3174,Domestic,Gold,N,2011-07
NOBLE PARK,3174,Cavalier King Charles Spaniel,Red,Y,2010-11
SPRINGVALE SOUTH,3172,Jack Russell Terrier,White & Tan,Y,2013-04
SPRINGVALE SOUTH,3172,German Shepherd,Black & Tan,Y,2014-10
DANDENONG NORTH,3175,Maltese X,White & Cream,Y,2003-01
DANDENONG NORTH,3175,Labrador X,Black,N,2014-01
DANDENONG NORTH,3175,Golden Retriever,Gold,Y,2010-02
NOBLE PARK NORTH,3174,Maltese,White & Brown,Y,2010-01
NOBLE PARK NORTH,3174,Japanese Spitz,White,Y,2010-12
NOBLE PARK NORTH,3174,Cocker Spaniel,Gold,Y,2007-02
