suburb,postcode,pri_breed,pri_colour,de_sexed,yrmonth
SPRINGVALE SOUTH,3172,Papillon,Black & White,Y,2002-06
DANDENONG,3175,Maltese X,White,Y,2004-05
DANDENONG,3175,Maltese X,Cream,Y,2007-03
DANDENONG,3175,Cavalier King Charles Spaniel,Black & Tan,N,2015-08
DANDENONG,3175,Heeler,Blue & Red,Y,2006-09
KEYSBOROUGH,3173,Staffordshire Bull Terrier X,White & Black,Y,2014-02
KEYSBOROUGH,3173,English Pointer,White & Black,Y,2004-05
NOBLE PARK,3174,Terrier,White,Y,2006-10
NOBLE PARK,3174,Airedale Terrier,Tan & Black,Y,2012-04
NOBLE PARK,3174,Maltese X,White,N,2009-10
NOBLE PARK,3174,Beagle,Tri Coloured,Y,2008-07
NOBLE PARK,3174,Staffordshire Bull Terrier,Black & White,Y,2008-07
NOBLE PARK,3174,Border Collie X,Black,Y,2013-05
NOBLE PARK,3174,Alaskan Malamute,Black & White,Y,2009-04
NOBLE PARK,3174,Boxer X,Brindle & White,Y,2013-10
NOBLE PARK,3174,Border Collie,Black & White,N,2004-04
NOBLE PARK,3174,Shih Tzu X,White,N,2006-09
NOBLE PARK,3174,Pomeranian,Cream,Y,2012-12
NOBLE PARK,3174,West Highland Terrier,White,Y,2009-07
NOBLE PARK,3174,Jack Russell Terrier X,White & Tan,Y,2007-03
NOBLE PARK,3174,Staffordshire Bull Terrier,Blue,N,2015-12
NOBLE PARK,3174,Pomeranian X,Black & Tan,N,2008-04
NOBLE PARK,3174,Miniature Fox Terrier,Tri Coloured,Y,2013-02
NOBLE PARK,3174,Staffordshire Bull Terrier,Black & Brindle,Y,2005-03
NOBLE PARK,3174,Maltese X,Black & White,N,2012-01
NOBLE PARK,3174,Pug,Brown,N,2011-10
NOBLE PARK,3174,Rottweiler,Black & Tan,Y,2009-07
NOBLE PARK,3174,Pomeranian,Brown,Y,2006-01
NOBLE PARK,3174,Jack Russell Terrier X,White & Tan,Y,2007-03
NOBLE PARK,3174,Jack Russell Terrier,White & Black,Y,2010-07
NOBLE PARK,3174,Labrador,Chocolate,Y,2010-03
NOBLE PARK,3174,Cocker Spaniel,Black,Y,2012-06
NOBLE PARK,3174,Beagle,Tri Coloured,N,2008-10
NOBLE PARK,3174,Pomeranian,Red,N,2006-01
NOBLE PARK,3174,Jack Russell Terrier,Tri Coloured,N,2006-10
NOBLE PARK,3174,Australian Bulldog,White & Tan,Y,2012-10
NOBLE PARK,3174,Rhodesian Ridgeback  X,Red & Tan,Y,2008-08
NOBLE PARK,3174,Kelpie X,Black,Y,2010-09
NOBLE PARK,3174,Labrador X,Black & White,N,2010-01
NOBLE PARK,3174,Miniature Pinscher,Black & Tan,N,2004-09
NOBLE PARK,3174,Poodle X,Apricot,Y,2014-04
NOBLE PARK,3174,Kelpie X,Black & White,N,2004-06
NOBLE PARK,3174,Pointer,White & Tan,Y,2011-12
KEYSBOROUGH,3173,Chihuahua X,Tri Coloured,Y,2004-04
KEYSBOROUGH,3173,Siberian Husky,Black & White,Y,2008-06
KEYSBOROUGH,3173,Maltese X,Cream,Y,2005-04
KEYSBOROUGH,3173,Labrador,Black,N,2006-05
